GenusSpecies,Source,habitat,location,commonname,othernames,endemic,location2,AUSnative,USAnative,nonfeed,benthic,surwcol,algphyto,macvascu,detritus,invlvfsh,fshcrcrb,blood,eggs,other,maxtl_cm,matuage,longevity,fecundity,serial,guarder,open.substratum.spawner,broodhider,livebearers,Pelagophils,euryhaline,Aestivates.during.drought,mintemp,maxtemp,muck,claysilt,sand,gravel,cobble,boulder,bedrock,vegetat,debrdetr,lwd,pelagic,rivers,sprgsubt,lacustrine,potanadr,slowcurr,modcurr,fastcurr,IUCNstatus,list1,list2,list3,list4,list5,extinct
Prosopium williamsoni,http://www.fishtraits.info/,freshwater,North America,mountain whitefish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,70,4,11,24136,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NE,FALSE,FALSE,FALSE,FALSE,FALSE,O
Pseudogobius olorum,fishbase,freshwater,Australia,bluespot goby,,FALSE,AUS,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,NA,NA,150,NA,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NE,NA,NA,NA,NA,NA,O
Ptychocheilus lucius,http://www.fishtraits.info/,freshwater,North America,Colorado pikeminnow,Colorado squawfish,TRUE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,180,6,30,100000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.6,33.2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,VU,TRUE,FALSE,TRUE,TRUE,FALSE,O
Pylodictis olivaris,http://www.fishtraits.info/,freshwater,North America,flathead catfish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,155,4.5,23,100000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-4.6,33.2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Rhinichthys cataractae,http://www.fishtraits.info/,freshwater,North America,longnose dace,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,22.5,2.5,5,10000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Rhinichthys osculus,http://www.fishtraits.info/,freshwater,North America,speckled dace,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,11,1.5,3.5,1200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.4,25.5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Richardsonius balteatus,http://www.fishtraits.info/,freshwater,North America,redside shiner,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,18,2.5,5.5,3602,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.2,30,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Richardsonius egregius,http://www.fishtraits.info/,freshwater,North America,lahontan redside,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,17,2,5,1125,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.8,35.8,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Rocio octofasciata,fishbase.de,freshwater,North America,Jack Dempsey,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25,NA,NA,800,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Salmo trutta,http://www.fishtraits.info/,anadromous ,Europe and Asia,brown trout,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,140,4,18,7500,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Salvelinus alpinus,http://www.fishtraits.info/,anadromous ,North America,Arctic charr,blueback trout,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,31,4,6,6000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Salvelinus fontinalis,http://www.fishtraits.info/; fishbase.se,anadromous ,North America,brook trout,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,86,4,15,6811,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NE,NA,NA,NA,NA,NA,O
Salvelinus namaycush,http://www.fishtraits.info/,freshwater,North America,lake trout,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,125,8,20,11500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NE,FALSE,FALSE,FALSE,FALSE,FALSE,O
Sander vitreus,http://www.fishtraits.info/,potamodromous ,North America,walleye,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,89.5,3,14,600000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Selenotoca multifasciata,fishbase.se,"marine, freshwater, brackish",Indo-Pacific,spotbanded scat,,FALSE,AUS,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NE,NA,NA,NA,NA,NA,O
Semotilus atromaculatus,http://www.fishtraits.info/,freshwater,North America,creek chub,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,30,2,5,7157,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-10.7,29.7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Siphateles bicolor,http://www.fishtraits.info/,freshwater,North America,tui chub,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,42,6,30,50000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-7.8,34.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Siphateles boraxobius,fishbase,freshwater,North America,Borax Lake chub,,TRUE,USA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,VU,TRUE,FALSE,TRUE,FALSE,TRUE,O
Thymallus arcticus,http://www.fishtraits.info/,freshwater,North America,Arctic grayling,Montana grayling,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,75.7,6,12,15905,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Xiphophorus variatus,http://www.fishtraits.info/,freshwater,North America,variable platyfish,variable platyfish,TRUE,non-native,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,0.2,NA,100,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Xyrauchen texanus,http://www.fishtraits.info/,freshwater,North America,razorback sucker,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,91,8,35,140000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-8.9,29,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,CR,TRUE,TRUE,FALSE,TRUE,FALSE,O
Amatitlania nigrofasciata,fishbase,freshwater,Central America,convict cichlid,,FALSE,non-native,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,150,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20,36,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,DD,NA,NA,NA,NA,NA,O
Gasterosteus microcephalus,fishbase,freshwater,"Asia, North America",smallhead stickleback,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.5,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NE,NA,NA,NA,NA,NA,O
Misgurnus anguillicaudatus,fishbase,freshwater,"Asia, North America",pond loach,,FALSE,USA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28,NA,NA,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Acentrogobius nebulosus,fishbase,"marine, freshwater, brackish",Indo-Pacific,shadow goby,,FALSE,AUS,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,MA,NA,NA,NA,NA,NA,TRUE,FALSE,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Oreochromis mossambicus,fishbase,freshwater and brackish,Africa,Mozambique tilapia,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39,NA,11,1000,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,VU,FALSE,FALSE,FALSE,TRUE,FALSE,O
Macquaria novemaculeata,fishbase,freshwater and brackish,Oceania,Australian bass,,FALSE,AUS,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,60,,22,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NE,NA,NA,NA,NA,NA,O
Chelonodon patoca,fishbase,"marine, freshwater, brackish",Indo-Pacific,milkspotted puffer,,FALSE,AUS,AUS,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,,,NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,23,28,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Boleophthalmus caeruleomaculatus,fishbase,"marine, freshwater, brackish",Australia,bluespotted mudskipper,,FALSE,AUS,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Oreochromis niloticus,fishbase,freshwater and brackish,Africa,Nile tilapia,,FALSE,non-native,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,0.5,9,1000,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,42,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Dorosoma petenense,fishbase,"marine, freshwater, brackish",North and Central America,threadfin shad,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,33,,4,20000,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FASLE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Poeciliopsis sonoriensis,fishbase,freshwater,Central America,Sonora topminnow,,FALSE,USA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,O
Cyprinus rubrofuscus,fishbase,freshwater and brackish,Asia ,amur carp,,FALSE,non-native,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,,,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Astronotus ocellatus,fishbase,freshwater,South America,oscar,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,45.7,,,2000,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,25,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NE,NA,NA,NA,NA,NA,O
Oreochromis aureus,fishbase,freshwater and brackish,Africa; Eurasia,blue tilapia,,FALSE,non-native,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45.7,,0.9,4300,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,41,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NE,NA,NA,NA,NA,NA,O
Pterygoplichthys disjunctivus,fishbase,freshwater,South America,vermiculated sailfin catfish,,FALSE,non-native,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,TRUE,NA,NA,NE,NA,NA,NA,NA,NA,O
Poecilia sphenops,fishbase,freshwater and brackish,Central and South America,molly,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,7.5,3.5,,150,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,18,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Nimbochromis venustus,fishbase,freshwater,Africa,giraffe cichlid,,TRUE,non-native,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25,NA,NA,120,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,25,27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Hemichromis guttatus,"fishbase, fishes of australia",freshwater and brackish,Africa,spotted jewelfish,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,12,NA,NA,300,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NE,NA,NA,NA,NA,NA,O
Amphilophus labiatus,fishbase ,freshwater,Central America,red devil,,FALSE,non-native,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28.3,,,700,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,FALSE,FALSE,NE,NA,NA,NA,NA,NA,O
Hemichromis lifalili,fishbase,freshwater,Africa,blood-red jewel cichlid,,FALSE,non-native,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,,,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,24,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
